Id	Description	Qty	Unit	Designators
1	Cable, 1 x 16 AWG	0	m	GND_J1, GND_J2, GND_J3, GND_J4, PWR_R1_IN, PWR_R1_OUT, PWR_R2_IN, PWR_R2_OUT, PWR_R3_IN, PWR_R3_OUT, PWR_R4_IN, PWR_R4_OUT
2	Cable, 1 x 22 AWG	0	m	CTRL_5V, CTRL_GND, CTRL_IN1, CTRL_IN2, CTRL_IN3, CTRL_IN4, PS_ON_JUMPER
3	Connector, 4-channel relay board control header, 6 pins	1		RELAY_CTRL
4	Connector, Molex Mini-Fit Jr 2-pin (K3 output), 2 pins	4		J1, J2, J3, J4
5	Connector, Molex Mini-Fit Jr 24-pin (ATX), 24 pins	1		ATX24
6	Connector, Molex Mini-Fit Jr 8-pin (EPS12V), 8 pins	1		EPS8
7	Connector, Raspberry Pi 40-pin GPIO header, 40 pins	1		RPI40
8	Connector, Relay 1 SPDT screw terminal, 3 pins	1		RELAY1
9	Connector, Relay 2 SPDT screw terminal, 3 pins	1		RELAY2
10	Connector, Relay 3 SPDT screw terminal, 3 pins	1		RELAY3
11	Connector, Relay 4 SPDT screw terminal, 3 pins	1		RELAY4
